category_name,category_id
Color Field,http://www.wikidata.org/entity/Q1164982
Hague School,http://www.wikidata.org/entity/Q1232633
feminist art,http://www.wikidata.org/entity/Q1246516
Glasgow School,http://www.wikidata.org/entity/Q1255562
Neue Slowenische Kunst,http://www.wikidata.org/entity/Q1266300
food art,http://www.wikidata.org/entity/Q1278380
Jugendstil,http://www.wikidata.org/entity/Q1294605
ligne claire,http://www.wikidata.org/entity/Q1307909
Mammen style,http://www.wikidata.org/entity/Q1310213
Sienese School,http://www.wikidata.org/entity/Q1332178
Groupe de Recherche d’Art Visuel,http://www.wikidata.org/entity/Q1332488
Spin art,http://www.wikidata.org/entity/Q1338114
historically informed performance,http://www.wikidata.org/entity/Q1344860
Stuckism,http://www.wikidata.org/entity/Q1351977
School of Porto,http://www.wikidata.org/entity/Q1367277
ethnofuturism,http://www.wikidata.org/entity/Q1371360
Cretan School,http://www.wikidata.org/entity/Q1378978
Poetism,http://www.wikidata.org/entity/Q1382662
Figuration Libre,http://www.wikidata.org/entity/Q1391488
Ottonian Renaissance,http://www.wikidata.org/entity/Q1399604
Cubo-Futurism,http://www.wikidata.org/entity/Q1400843
Russian avant-garde,http://www.wikidata.org/entity/Q1401605
School of Ferrara,http://www.wikidata.org/entity/Q1407578
Vienna School of Fantastic Realism,http://www.wikidata.org/entity/Q1413727
filk,http://www.wikidata.org/entity/Q1414130
dark romanticism,http://www.wikidata.org/entity/Q1418745
Seicento,http://www.wikidata.org/entity/Q1419845
Mir iskusstva,http://www.wikidata.org/entity/Q1425138
Franco-Saxon School,http://www.wikidata.org/entity/Q1427100
Neo-Attic,http://www.wikidata.org/entity/Q1429238
Franco-Belgian comics,http://www.wikidata.org/entity/Q1431020
Neue Frankfurter Schule,http://www.wikidata.org/entity/Q1443600
Superflat,http://www.wikidata.org/entity/Q1444581
Early Renaissance,http://www.wikidata.org/entity/Q1472236
Poetic realism,http://www.wikidata.org/entity/Q1474763
High Renaissance,http://www.wikidata.org/entity/Q1474884
Oseberg style,http://www.wikidata.org/entity/Q1478651
sōsaku-hanga,http://www.wikidata.org/entity/Q1518145
Tingatinga,http://www.wikidata.org/entity/Q1536024
Gustavian style,http://www.wikidata.org/entity/Q1556741
internet art,http://www.wikidata.org/entity/Q1569950
Precisionism,http://www.wikidata.org/entity/Q1578378
Hellenistic sculpture,http://www.wikidata.org/entity/Q1580145
Het Monochrome Banketje,http://www.wikidata.org/entity/Q1616091
Utrecht Caravaggism,http://www.wikidata.org/entity/Q1628039
Ishizuri-e,http://www.wikidata.org/entity/Q1673900
Cologne Progressives,http://www.wikidata.org/entity/Q1681980
